iter	Logloss
0	0.5736068494
1	0.4947766509
2	0.4429066274
3	0.408049903
4	0.3840098803
5	0.3674511131
6	0.3555387192
7	0.3467589604
8	0.3402541285
9	0.3356915357
10	0.3320227715
11	0.3290146535
12	0.326855638
13	0.3251810643
14	0.3238665511
15	0.322966598
16	0.3220463393
17	0.3213997719
18	0.3208403872
19	0.32046093
20	0.320067706
21	0.3197926189
22	0.3195126937
23	0.319305204
24	0.3191575057
25	0.3190277626
26	0.3188878988
27	0.3187874044
28	0.318687895
29	0.3185823846
30	0.3185008297
31	0.3184090799
32	0.3182816809
33	0.318179735
34	0.3180783562
35	0.3179625315
36	0.3178775414
37	0.3178126246
38	0.3177448812
39	0.3176875046
40	0.3176458924
41	0.3176182017
42	0.3175090143
43	0.31747564
44	0.3174326164
45	0.3173988209
46	0.3173546465
47	0.3173261516
48	0.3172783819
49	0.317235538
50	0.3171838259
51	0.317149762
52	0.3171090535
53	0.3170688517
54	0.3170226848
55	0.3169736622
56	0.3169563218
57	0.3169178375
58	0.316890545
59	0.3168631014
60	0.3168237571
61	0.3167772946
62	0.3167468218
63	0.3166965331
64	0.3166703822
65	0.3166450161
66	0.3166223271
67	0.3165926449
68	0.316559137
69	0.3165350401
70	0.316506587
71	0.3164925324
72	0.316443517
73	0.3164184789
74	0.3163910921
75	0.3163745116
76	0.3163511201
77	0.3163310623
78	0.3162887928
79	0.3162635837
80	0.3162155715
81	0.3161878048
82	0.3161720368
83	0.3161445086
84	0.3161250316
85	0.3161117996
86	0.3160878633
87	0.3160845512
88	0.3160729415
89	0.3160622786
90	0.3160328269
91	0.3160087805
92	0.3159724868
93	0.3159412981
94	0.3159025282
95	0.3158610265
96	0.3158458216
97	0.3158228559
98	0.3158044237
99	0.3157871563
100	0.3157463146
101	0.3157168848
102	0.3156939349
103	0.3156795099
104	0.3156534115
105	0.3156168609
106	0.3155938405
107	0.3155685262
108	0.31553445
109	0.3155051517
110	0.3154803539
111	0.3154638425
112	0.3154433779
113	0.3154370449
114	0.315403371
115	0.3153736152
116	0.3153419373
117	0.3153048728
118	0.3152801465
119	0.3152653449
120	0.3152587698
121	0.3152428112
122	0.315214578
123	0.3151848904
124	0.3151560246
125	0.315129498
126	0.3151039442
127	0.3150967096
128	0.3150854823
129	0.3150763846
130	0.3150435304
131	0.3150063139
132	0.3149671052
133	0.3149469818
134	0.3149260477
135	0.3148934497
136	0.3148769974
137	0.3148560631
138	0.3148561613
139	0.3148178377
140	0.3147993159
141	0.3147759218
142	0.3147535977
143	0.3147318509
144	0.3147095559
145	0.3146902376
146	0.3146531801
147	0.3146083153
148	0.3146026101
149	0.3145951979
150	0.3145664044
151	0.3145637513
152	0.3145553772
153	0.3145385666
154	0.3145149887
155	0.3144880166
156	0.314486717
157	0.314463772
158	0.3144386395
159	0.3144194544
160	0.3144010744
161	0.3143812981
162	0.3143640859
163	0.31434244
164	0.3143171427
165	0.3142958717
166	0.3142713573
167	0.314248819
168	0.3142208141
169	0.3141945497
170	0.3141808128
171	0.3141543484
172	0.3141348134
173	0.3141060015
174	0.3140897715
175	0.3140750984
176	0.3140606387
177	0.3140479056
178	0.3140230425
179	0.314000162
180	0.3139778764
181	0.3139561851
182	0.3139355437
183	0.3139132686
184	0.3138962117
185	0.3138680927
186	0.3138522094
187	0.3138188597
188	0.3137893096
189	0.3137775063
190	0.3137621379
191	0.3137349095
192	0.3137142688
193	0.3137014428
194	0.3136863106
195	0.3136758106
196	0.3136399757
197	0.3136216003
198	0.3136164304
199	0.3135889455
200	0.3135673643
201	0.3135398732
202	0.3135258755
203	0.3134975658
204	0.3134901841
205	0.3134769543
206	0.3134488156
207	0.313443496
208	0.3134276026
209	0.3134084899
210	0.3134059125
211	0.3134042598
212	0.3133845431
213	0.313360216
214	0.3133445487
215	0.3133219546
216	0.3133059641
217	0.3132808149
218	0.3132766515
219	0.3132598945
220	0.313242823
221	0.3132200139
222	0.3131889214
223	0.3131771614
224	0.3131511257
225	0.3131290413
226	0.3131000043
227	0.313087622
228	0.3130872503
229	0.3130597389
230	0.3130360861
