iter	Passed	Remaining
0	65	65755
1	87	43649
2	106	35477
3	125	31199
4	143	28528
5	161	26694
6	178	25345
7	195	24298
8	214	23627
9	232	23054
10	253	22766
11	271	22342
12	288	21926
13	307	21645
14	326	21430
15	345	21227
16	363	21043
17	381	20790
18	399	20617
19	418	20506
20	436	20354
21	454	20218
22	472	20089
23	490	19952
24	509	19864
25	527	19750
26	544	19633
27	562	19524
28	581	19457
29	600	19405
30	620	19384
31	638	19303
32	656	19228
33	674	19161
34	691	19073
35	709	19003
36	727	18940
37	745	18883
38	763	18815
39	780	18735
40	796	18629
41	814	18575
42	831	18507
43	848	18439
44	867	18412
45	885	18370
46	903	18317
47	919	18241
48	937	18189
49	955	18151
50	973	18105
51	989	18048
52	1008	18023
53	1024	17949
54	1042	17904
55	1059	17854
56	1075	17785
57	1094	17778
58	1112	17736
59	1128	17679
60	1147	17660
61	1165	17630
62	1182	17589
63	1201	17564
64	1218	17530
65	1236	17493
66	1253	17452
67	1270	17407
68	1288	17381
69	1304	17328
70	1322	17302
71	1338	17245
72	1355	17219
73	1373	17188
74	1389	17142
75	1406	17104
76	1423	17063
77	1440	17029
78	1459	17018
79	1475	16965
80	1493	16948
81	1511	16924
82	1526	16864
83	1543	16827
84	1558	16775
85	1575	16742
86	1588	16673
87	1604	16626
88	1622	16606
89	1638	16568
90	1654	16531
91	1671	16500
92	1689	16479
93	1708	16467
94	1727	16455
95	1745	16436
96	1762	16403
97	1779	16381
98	1797	16356
99	1815	16337
100	1833	16323
101	1851	16297
102	1868	16274
103	1884	16236
104	1901	16210
105	1921	16203
106	1937	16167
107	1954	16142
108	1971	16112
109	1986	16076
110	2005	16060
111	2022	16038
112	2040	16013
113	2053	15963
114	2069	15928
115	2086	15898
116	2106	15898
117	2124	15881
118	2140	15848
119	2156	15813
120	2170	15769
121	2187	15743
122	2204	15717
123	2224	15711
124	2242	15696
125	2259	15671
126	2277	15658
127	2293	15622
128	2310	15600
129	2327	15575
130	2345	15561
131	2367	15568
132	2388	15572
133	2405	15545
134	2423	15527
135	2440	15505
136	2457	15480
137	2473	15453
138	2488	15415
139	2507	15404
140	2526	15390
141	2543	15371
142	2561	15351
143	2578	15330
144	2596	15308
145	2614	15290
146	2631	15272
147	2648	15248
148	2663	15214
149	2679	15185
150	2696	15163
151	2712	15131
152	2728	15103
153	2745	15080
154	2762	15059
155	2779	15040
156	2794	15007
157	2812	14989
158	2829	14965
159	2846	14942
160	2863	14923
161	2881	14904
162	2898	14883
163	2916	14865
164	2933	14846
165	2951	14830
166	2969	14812
167	2986	14791
168	3005	14780
169	3024	14766
170	3040	14741
171	3057	14720
172	3074	14697
173	3092	14681
174	3111	14666
175	3126	14639
176	3144	14622
177	3160	14596
178	3177	14575
179	3194	14552
180	3212	14537
181	3229	14514
182	3246	14493
183	3262	14470
184	3279	14448
185	3295	14420
186	3312	14401
187	3329	14382
188	3347	14365
189	3365	14346
190	3379	14315
191	3396	14294
192	3415	14280
193	3430	14254
194	3445	14223
195	3461	14198
196	3479	14184
197	3499	14172
198	3512	14140
199	3530	14120
200	3547	14101
201	3563	14078
202	3578	14050
203	3597	14037
204	3612	14007
205	3628	13983
206	3644	13962
207	3659	13935
208	3675	13912
209	3693	13893
210	3708	13868
211	3723	13838
212	3740	13818
213	3757	13802
214	3774	13779
215	3791	13762
216	3808	13743
217	3825	13723
218	3841	13698
219	3858	13679
220	3874	13655
221	3890	13635
222	3909	13620
223	3925	13599
224	3945	13591
225	3961	13567
226	3981	13557
227	3998	13539
228	4013	13511
229	4031	13495
230	4049	13480
231	4067	13463
232	4084	13445
233	4103	13431
234	4119	13411
235	4136	13391
236	4152	13369
237	4170	13351
238	4187	13332
239	4204	13314
240	4220	13292
241	4237	13271
242	4252	13247
243	4267	13223
244	4282	13198
245	4301	13185
246	4318	13165
247	4335	13146
248	4352	13126
249	4369	13108
250	4387	13092
251	4405	13075
252	4423	13059
253	4439	13037
254	4456	13018
255	4473	12999
256	4490	12982
257	4509	12968
258	4525	12948
259	4540	12921
260	4555	12898
261	4571	12878
262	4588	12857
263	4604	12836
264	4623	12822
265	4636	12794
266	4653	12775
267	4670	12756
268	4687	12737
269	4704	12719
270	4722	12703
271	4741	12689
272	4756	12666
273	4770	12640
274	4786	12619
275	4803	12601
276	4821	12584
277	4835	12558
278	4851	12536
279	4868	12519
280	4885	12500
281	4901	12479
282	4917	12459
283	4935	12442
284	4947	12413
285	4964	12392
286	4983	12379
287	5001	12363
288	5018	12346
289	5035	12328
290	5052	12310
291	5070	12293
292	5082	12263
293	5094	12234
294	5110	12212
295	5127	12196
296	5145	12179
297	5163	12164
298	5180	12146
299	5198	12129
300	5215	12110
301	5232	12093
302	5248	12073
303	5264	12053
304	5280	12032
305	5297	12013
306	5315	11998
307	5332	11980
308	5349	11962
309	5366	11943
310	5382	11925
311	5399	11906
312	5416	11888
313	5434	11871
314	5451	11855
315	5467	11835
316	5483	11815
317	5499	11795
318	5514	11772
319	5530	11751
320	5548	11735
321	5565	11718
322	5581	11698
323	5597	11678
324	5614	11661
325	5630	11641
326	5648	11624
327	5664	11606
328	5681	11587
329	5698	11570
330	5716	11553
331	5733	11536
332	5751	11519
333	5765	11495
334	5782	11477
335	5798	11459
336	5814	11439
337	5830	11420
338	5849	11405
339	5866	11388
340	5884	11372
341	5903	11358
342	5922	11343
343	5940	11328
344	5958	11312
345	5976	11296
346	5994	11281
347	6008	11256
348	6024	11237
349	6039	11216
350	6056	11198
351	6073	11180
352	6091	11164
353	6108	11147
354	6126	11131
355	6142	11111
356	6159	11093
357	6175	11074
358	6193	11057
359	6210	11040
360	6226	11020
361	6243	11003
362	6260	10985
363	6276	10966
364	6292	10947
365	6308	10928
366	6323	10907
367	6340	10889
368	6358	10874
369	6376	10857
370	6393	10839
371	6411	10823
372	6429	10807
373	6447	10791
374	6464	10774
375	6481	10756
376	6495	10734
377	6510	10712
378	6526	10693
379	6543	10675
380	6559	10657
381	6575	10638
382	6588	10613
383	6605	10595
384	6620	10575
385	6636	10556
386	6654	10541
387	6671	10523
388	6689	10506
389	6707	10491
390	6724	10474
391	6742	10458
392	6758	10438
393	6776	10422
